query,actual col,# actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
What are the procedures that cost more than 1000 or are specialized in by physician John Wen?,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician']",1,0.2,0.5,0.28,"['physician', 'name', 'treatment', 'pcp', 'cost']",3,0.6,0.6,0.6,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",4,0.8,0.14,0.24
which shop has happy hour most frequently? List its id and number of happy hours.,['shop_id'],1,"['shop_id', 'num_of_staff_in_charge']",1,1.0,0.5,0.66,"['total_amount', 'member_id', 'shop_id', 'month', 'hh_id', 'address', 'num_of_staff_in_charge']",1,1.0,0.14,0.24,"['open_year', 'num_of_staff_in_charge', 'total_amount', 'member_id', 'num_of_staff', 'shop_id', 'month', 'hh_id', 'address', 'time_of_purchase', 'score']",1,1.0,0.09,0.16
Which physicians are affiliated with both Surgery and Psychiatry departments? Tell me their names.,"['name', 'departmentid', 'employeeid']",3,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name', 'appointment', 'employeeid', 'position', 'pcp', 'address', 'patient']",2,0.67,0.25,0.36,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address', 'appointmentid']",2,0.67,0.06,0.12
How many films have the word 'Dummy' in their titles?,['title'],1,[],0,0.0,ZeroDivisionError,,"['film_id', 'title', 'rank_in_series', 'directed_by']",1,1.0,0.25,0.4,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.14,0.24
What is the alphabetically ordered list of all the distinct names of nurses?,['name'],1,['name'],1,1.0,1.0,1.0,"['physician', 'name', 'employeeid', 'position', 'prepnurse', 'nurse', 'registered']",1,1.0,0.14,0.24,"['name', 'position', 'prepnurse', 'stayid', 'pcp', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'blockcode', 'medication', 'address', 'appointmentid']",1,1.0,0.04,0.08
Find the name of the nurse who has the largest number of appointments.,"['name', 'employeeid', 'prepnurse']",3,"['name', 'nurse']",1,0.33,0.5,0.4,"['physician', 'name', 'examinationroom', 'appointment', 'employeeid', 'position', 'prepnurse', 'pcp', 'phone', 'assistingnurse', 'nurse', 'start', 'end', 'registered', 'blockfloor', 'appointmentid']",3,1.0,0.19,0.32,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'treatment', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
What is the maximum and minimum market value of companies?,['market_value_in_billion'],1,['market_value_in_billion'],1,1.0,1.0,1.0,"['industry', 'market_value_in_billion']",1,1.0,0.5,0.66,"['name', 'market_value_in_billion', 'assets_in_billion', '18_49_rating_share', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",1,1.0,0.11,0.2
Show the years and the official names of the host cities of competitions.,"['city_id', 'official_name', 'host_city_id', 'year']",4,[],0,0.0,ZeroDivisionError,,"['status', 'official_name']",1,0.25,0.5,0.34,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.5,0.4,0.44
List all directors along with the number of films directed by each director.,['directed_by'],1,[],0,0.0,ZeroDivisionError,,"['production_code', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.25,0.4,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.17,0.3
In which locations are there more than one movie theater with capacity above 300?,"['location', 'capacity']",2,"['location', 'capacity']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year']",2,1.0,0.4,0.58,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",2,1.0,0.25,0.4
Find the names of all physicians and their primary affiliated departments' names.,"['name', 'departmentid', 'employeeid', 'primaryaffiliation']",4,"['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name', 'ssn', 'employeeid', 'position', 'department', 'pcp', 'patient']",2,0.5,0.25,0.34,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'department', 'primaryaffiliation', 'assistingnurse', 'start', 'registered', 'patient', 'ssn', 'brand', 'blockcode', 'medication', 'address', 'appointmentid']",3,0.75,0.12,0.2
How many patients are not using Procrastin-X as medication?,"['name', 'ssn', 'code']",3,"['medication', 'patient']",0,0.0,0.0,ZeroDivisionError,"['medication', 'patient', 'dose']",0,0.0,0.0,ZeroDivisionError,"['physician', 'name', 'ssn', 'brand', 'appointment', 'treatment', 'dose', 'medication', 'description', 'pcp', 'phone', 'date', 'code', 'patient']",3,1.0,0.21,0.34
What are the headquarters and industries of all companies?,"['industry', 'headquarters']",2,"['industry', 'headquarters']",2,1.0,1.0,1.0,"['name', 'industry', 'headquarters']",2,1.0,0.67,0.8,"['name', 'market_value_in_billion', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",2,1.0,0.25,0.4
Which address do not have any member with the black membership card?,"['address', 'membership_card']",2,"['address', 'membership_card']",2,1.0,1.0,1.0,"['address', 'membership_card', 'name']",2,1.0,0.67,0.8,"['level_of_membership', 'name', 'member_id', 'membership_card', 'address', 'age']",2,1.0,0.33,0.5
Show the headquarters that have at least two companies.,['headquarters'],1,['headquarters'],1,1.0,1.0,1.0,"['company_id', 'name', 'industry', 'headquarters']",1,1.0,0.25,0.4,"['name', 'market_value_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",1,1.0,0.14,0.24
What are the names of departments that have primarily affiliated physicians.,"['primaryaffiliation', 'name', 'departmentid']",3,"['physician', 'name', 'department']",1,0.33,0.33,0.34,"['physician', 'name', 'appointment', 'employeeid', 'position', 'department', 'pcp', 'patient']",1,0.33,0.12,0.18,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'room', 'employeeid', 'department', 'primaryaffiliation', 'assistingnurse', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'medication', 'address', 'appointmentid']",2,0.67,0.08,0.14
"Return the characters for actors, ordered by age descending.","['character', 'age']",2,"['character', 'age']",2,1.0,1.0,1.0,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",2,1.0,0.33,0.5,"['character', 'name', 'musical_id', 'actor_id', 'episode', 'duration', '18_49_rating_share', 'air_date', 'weekly_rank', 'id', 'rating', 'age']",2,1.0,0.17,0.3
Find the number of patients who are not using the medication of Procrastin-X.,"['name', 'ssn', 'code']",3,"['medication', 'patient']",0,0.0,0.0,ZeroDivisionError,"['medication', 'patient', 'dose']",0,0.0,0.0,ZeroDivisionError,"['name', 'position', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'cost', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.11,0.2
Find the number of rooms for different block code?,"['blockcode', 'blockfloor']",2,"['roomnumber', 'room', 'blockcode', 'code', 'blockfloor']",2,1.0,0.4,0.58,"['roomnumber', 'room', 'blockcode', 'code', 'blockfloor', 'roomtype']",2,1.0,0.33,0.5,"['roomnumber', 'examinationroom', 'room', 'patient', 'blockcode', 'code', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.22,0.36
"Show name, opening year, and capacity for each cinema.","['name', 'capacity', 'openning_year']",3,"['location', 'cinema_id', 'name', 'capacity', 'openning_year']",3,1.0,0.6,0.74,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",3,1.0,0.43,0.6,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",3,1.0,0.38,0.56
How many farms are there?,[],0,"['sheep_and_goats', 'cows', 'working_horses', 'total_horses', 'total_cattle']",0,1.0,0.0,0.0,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",0,1.0,0.0,0.0,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",0,1.0,0.0,0.0
What is the id of the patient who stayed in room 111 most recently?,"['patient', 'room', 'staystart']",3,"['name', 'patient', 'room']",2,0.67,0.67,0.68,"['roomnumber', 'physician', 'name', 'ssn', 'examinationroom', 'room', 'employeeid', 'blockfloor', 'insuranceid', 'stayid', 'phone', 'unavailable', 'nurse', 'address', 'patient', 'roomtype']",2,0.67,0.12,0.2,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,0.67,0.06,0.12
Count the number of films whose title contains the word 'Dummy'.,['title'],1,['title'],1,1.0,1.0,1.0,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.17,0.3,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.14,0.24
List the names of companies by ascending number of sales.,"['name', 'sales_in_billion']",2,['name'],1,0.5,1.0,0.66,"['sales_in_billion', 'name', 'industry']",2,1.0,0.67,0.8,"['name', 'market_value_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",2,1.0,0.29,0.44
Find the name of physicians who are in charge of more than one patient.,"['name', 'employeeid', 'pcp']",3,"['physician', 'name', 'position', 'pcp', 'patient']",2,0.67,0.4,0.5,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'insuranceid', 'medication', 'pcp', 'phone', 'address', 'patient']",3,1.0,0.25,0.4,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
List the official name and status of the city with the largest population.,"['status', 'official_name', 'population']",3,"['status', 'official_name', 'population']",3,1.0,1.0,1.0,"['status', 'official_name', 'population']",3,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",3,1.0,0.5,0.66
Find the physician who was trained in the most expensive procedure?,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['physician', 'name']",1,0.2,0.5,0.28,"['physician', 'name', 'position', 'pcp', 'cost', 'patient']",2,0.4,0.33,0.36,"['name', 'position', 'procedures', 'prepnurse', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'patient', 'roomtype', 'ssn', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address']",5,1.0,0.17,0.3
What are each physician's employee id and department id primarily affiliated.,"['primaryaffiliation', 'physician', 'department']",3,"['employeeid', 'physician', 'department']",2,0.67,0.67,0.68,"['physician', 'ssn', 'employeeid', 'position', 'department', 'insuranceid', 'stayid', 'pcp', 'patient']",2,0.67,0.22,0.34,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'primaryaffiliation', 'assistingnurse', 'registered', 'patient', 'roomtype', 'ssn', 'treatment', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.11,0.2
How many musicals has each nominee been nominated for?,['nominee'],1,"['result', 'nominee']",1,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",1,1.0,0.17,0.3,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24
What is the name of the medication used for the patient staying in room 111?,"['name', 'ssn', 'room', 'code']",4,"['medication', 'name', 'patient', 'room']",2,0.5,0.5,0.5,"['roomnumber', 'name', 'brand', 'appointment', 'dose', 'room', 'stay', 'blockfloor', 'medication', 'stayid', 'description', 'phone', 'code', 'address', 'patient', 'roomtype']",3,0.75,0.19,0.3,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address', 'appointmentid']",4,1.0,0.12,0.22
"What are the highest cost, lowest cost and average cost of procedures?",['cost'],1,"['cost', 'procedures']",1,1.0,0.5,0.66,"['physician', 'cost', 'procedures', 'name']",1,1.0,0.25,0.4,"['name', 'position', 'procedures', 'prepnurse', 'pcp', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'assistingnurse', 'cost', 'start', 'patient', 'roomtype', 'treatment', 'dateundergoes']",1,1.0,0.05,0.1
Count the number of farms.,[],0,"['cows', 'sheep_and_goats', 'working_horses', 'bulls', 'pigs', 'total_horses', 'total_cattle']",0,1.0,0.0,0.0,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",0,1.0,0.0,0.0,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",0,1.0,0.0,0.0
How many appointments are there?,[],0,['appointment'],0,1.0,0.0,0.0,"['physician', 'examinationroom', 'appointment', 'pcp', 'start', 'end', 'appointmentid']",0,1.0,0.0,0.0,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'certificationdate', 'blockfloor', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'treatment', 'dose', 'dateundergoes', 'address', 'appointmentid']",0,1.0,0.0,0.0
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"['theme', 'host_city_id', 'city_id', 'population']",4,[],0,0.0,ZeroDivisionError,,"['status', 'population']",1,0.25,0.5,0.34,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.5,0.33,0.4
"Return the different statuses of cities, ascending by frequency.",['status'],1,['status'],1,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'city_id', 'population']",1,1.0,0.2,0.34,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.17,0.3
What are the official names of cities that have not hosted a farm competition?,"['city_id', 'official_name', 'host_city_id']",3,[],0,0.0,ZeroDivisionError,,"['status', 'official_name']",1,0.33,0.5,0.4,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.67,0.4,0.5
Find the name of physicians who are affiliated with Surgery or Psychiatry department.,"['name', 'departmentid', 'employeeid']",3,"['physician', 'name', 'department']",1,0.33,0.33,0.34,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'department', 'insuranceid', 'pcp', 'phone', 'address', 'patient']",2,0.67,0.17,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,0.67,0.06,0.12
Show the shop addresses ordered by their opening year.,"['open_year', 'address']",2,"['open_year', 'address']",2,1.0,1.0,1.0,"['open_year', 'shop_id', 'address', 'time_of_purchase']",2,1.0,0.5,0.66,"['open_year', 'num_of_staff', 'shop_id', 'address', 'time_of_purchase', 'score']",2,1.0,0.33,0.5
Find the names of departments that are located in Houston.,"['dname', 'dlocation', 'dnumber']",3,['name'],0,0.0,0.0,ZeroDivisionError,"['dname', 'name', 'dnumber']",2,0.67,0.67,0.68,"['name', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",2,0.67,0.4,0.5
Find the department with the most employees.,"['name', 'departmentid']",2,[],0,0.0,ZeroDivisionError,,"['dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",0,0.0,0.0,ZeroDivisionError,"['dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",0,0.0,0.0,ZeroDivisionError
Tell me the distinct block codes where some rooms are available.,"['blockcode', 'unavailable']",2,"['code', 'blockcode', 'room']",1,0.5,0.33,0.4,"['roomnumber', 'room', 'blockcode', 'code', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.29,0.44,"['roomnumber', 'examinationroom', 'room', 'patient', 'blockcode', 'stayid', 'code', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.2,0.34
Which membership card has more than 5 members?,['membership_card'],1,['membership_card'],1,1.0,1.0,1.0,"['level_of_membership', 'name', 'membership_card', 'address', 'age']",1,1.0,0.2,0.34,"['num_of_staff_in_charge', 'level_of_membership', 'name', 'total_amount', 'member_id', 'num_of_staff', 'membership_card', 'address', 'age']",1,1.0,0.11,0.2
Which months have more than 2 happy hours?,['month'],1,['month'],1,1.0,1.0,1.0,"['total_amount', 'member_id', 'shop_id', 'month', 'hh_id', 'num_of_staff_in_charge']",1,1.0,0.17,0.3,"['open_year', 'num_of_staff_in_charge', 'total_amount', 'member_id', 'shop_id', 'month', 'hh_id', 'time_of_purchase']",1,1.0,0.12,0.22
Find the name of medication used on the patient who stays in room 111?,"['name', 'ssn', 'room', 'code']",4,"['name', 'room', 'stay', 'medication', 'patient']",2,0.5,0.4,0.44,"['name', 'stayid', 'description', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'patient', 'roomtype', 'brand', 'dose', 'blockcode', 'medication', 'address']",3,0.75,0.14,0.24,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address', 'appointmentid']",4,1.0,0.11,0.2
"Tell me the highest, lowest, and average cost of procedures.",['cost'],1,"['cost', 'procedures']",1,1.0,0.5,0.66,"['physician', 'cost', 'procedures', 'name']",1,1.0,0.25,0.4,"['name', 'position', 'procedures', 'prepnurse', 'pcp', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'assistingnurse', 'cost', 'start', 'end', 'patient', 'roomtype', 'treatment', 'dateundergoes']",1,1.0,0.05,0.1
What are the title and director of each film?,"['title', 'directed_by']",2,"['title', 'rank_in_series', 'directed_by']",2,1.0,0.67,0.8,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series', 'directed_by']",2,1.0,0.33,0.5,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",2,1.0,0.29,0.44
What are the hosts of competitions whose theme is not 'Aliens'?,"['theme', 'hosts']",2,"['theme', 'hosts']",2,1.0,1.0,1.0,"['theme', 'hosts', 'year', 'competition_id']",2,1.0,0.5,0.66,"['host_city_id', 'rank', 'theme', 'competition_id', 'hosts', 'farm_id', 'year']",2,1.0,0.29,0.44
List the name of physicians who never took any appointment.,"['employeeid', 'name']",2,"['physician', 'name', 'appointment']",1,0.5,0.33,0.4,"['physician', 'name', 'appointment', 'position', 'pcp']",1,0.5,0.2,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dateundergoes', 'medication', 'address', 'appointmentid']",2,1.0,0.07,0.14
What are the names of procedures physician John Wen was trained in?,"['name', 'treatment', 'employeeid', 'code']",4,"['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name', 'position', 'pcp', 'patient']",1,0.25,0.2,0.22,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",3,0.75,0.11,0.2
Show the names of companies and of employees.,"['name', 'people_id', 'company_id']",3,['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5
List the name of physicians who took some appointment.,"['employeeid', 'name']",2,"['physician', 'position', 'name', 'appointment']",1,0.5,0.25,0.34,"['end', 'physician', 'name', 'ssn', 'examinationroom', 'appointment', 'employeeid', 'position', 'procedures', 'insuranceid', 'pcp', 'phone', 'assistingnurse', 'start', 'address', 'patient', 'appointmentid']",2,1.0,0.12,0.22,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
Find the name of the patient who made the appointment with the most recent start date.,"['name', 'ssn', 'start']",3,"['physician', 'name', 'appointment', 'date', 'start', 'patient']",2,0.67,0.33,0.44,"['end', 'physician', 'name', 'examinationroom', 'appointment', 'employeeid', 'position', 'dateundergoes', 'insuranceid', 'staystart', 'pcp', 'phone', 'date', 'start', 'address', 'patient', 'appointmentid']",2,0.67,0.12,0.2,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'certificationdate', 'blockfloor', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'oncallend', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dateundergoes', 'blockcode', 'medication', 'stayend', 'address', 'appointmentid']",3,1.0,0.08,0.14
Find the number of patients' prescriptions physician John Dorian made.,"['name', 'ssn', 'employeeid']",3,['physician'],0,0.0,0.0,ZeroDivisionError,"['physician', 'name', 'ssn', 'appointment', 'dose', 'position', 'medication', 'pcp', 'phone', 'date', 'code', 'patient']",2,0.67,0.17,0.28,"['name', 'position', 'procedures', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'ssn', 'brand', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.11,0.2
Tell me the employee id of the head of the department with the least employees.,"['head', 'departmentid']",2,['head'],1,0.5,1.0,0.66,"['head', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",1,0.5,0.2,0.28,"['head', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",1,0.5,0.2,0.28
How many actors are there?,[],0,['age'],0,1.0,0.0,0.0,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",0,1.0,0.0,0.0,"['character', 'share', 'name', 'musical_id', 'actor_id', 'episode', 'duration', 'viewers_m', '18_49_rating_share', 'assets_in_billion', 'id', 'rating', 'age']",0,1.0,0.0,0.0
Show the cinema name and location for cinemas with capacity above average.,"['location', 'name', 'capacity']",3,"['location', 'capacity', 'name']",3,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year']",3,1.0,0.5,0.66,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",3,1.0,0.38,0.56
Return the different nominees of musicals that have an award that is not the Tony Award.,"['nominee', 'award']",2,"['result', 'nominee', 'award']",2,1.0,0.67,0.8,"['result', 'name', 'nominee', 'award', 'category']",2,1.0,0.4,0.58,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
